Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
12521,0.8,Very Good,G,SI1,62.1,56.0,6.01,5.85,3.68,3071
6234,0.78,Ideal,E,SI1,62.1,58.0,5.86,5.9,3.65,3146
19807,0.52,Premium,F,SI2,62.7,57.0,5.11,5.07,3.19,1073
23096,1.01,Ideal,G,SI1,63.1,53.0,6.36,6.42,4.03,5430
21265,0.91,Premium,E,VS2,61.6,58.0,6.2,6.18,3.81,4739
22981,0.5,Ideal,D,VS1,61.6,57.0,5.09,5.13,3.15,1923
23184,1.51,Very Good,I,VS1,61.8,63.0,7.28,7.34,4.52,9467
21069,2.38,Premium,J,VS2,62.6,59.0,8.52,8.49,5.32,16273
10491,0.4,Ideal,D,VVS2,62.5,55.0,4.73,4.77,2.97,1010
10086,1.09,Premium,F,VS1,60.9,58.0,6.63,6.67,4.05,8057
15878,0.4,Premium,G,SI1,61.1,61.0,4.76,4.7,2.89,900
11251,1.19,Good,G,VVS2,61.1,61.0,6.86,6.83,4.18,8995
276,0.53,Very Good,J,VS2,60.9,59.0,5.2,5.27,3.19,1023
21845,0.54,Ideal,G,VS1,62.3,55.0,5.2,5.24,3.25,1754
9637,0.28,Very Good,H,VVS2,62.0,55.0,4.21,4.23,2.62,522
3002,1.04,Ideal,H,SI2,61.1,56.0,6.6,6.66,4.05,4290
4484,0.43,Ideal,G,VVS2,61.9,55.0,4.84,4.86,3.0,1056
14558,0.3,Ideal,H,SI1,62.2,57.0,4.27,4.31,2.67,450
23731,0.27,Very Good,D,VS1,59.9,58.0,4.17,4.24,2.52,470
20200,0.9,Very Good,D,VS2,63.5,61.0,6.16,6.09,3.89,4521
14017,0.4,Ideal,G,VVS1,61.3,56.0,4.74,4.75,2.91,977
22675,0.76,Ideal,D,VS2,61.2,57.0,5.91,5.89,3.61,3384
9310,1.51,Ideal,D,VS2,62.1,58.0,7.32,7.34,4.55,15821
17647,0.62,Premium,G,VS2,62.2,55.0,5.51,5.46,3.41,1823
2081,1.02,Good,D,SI2,57.5,62.0,6.62,6.6,3.8,3909
16446,0.31,Good,D,SI1,63.5,57.0,4.28,4.32,2.73,571
11873,0.4,Very Good,D,SI1,60.0,56.0,4.82,4.85,2.9,708
7083,1.2,Premium,I,VVS2,63.0,60.0,6.71,6.63,4.2,5376
22343,0.32,Ideal,D,SI2,,56.0,4.46,4.43,2.73,612
10744,0.32,Ideal,D,VS2,62.7,57.0,4.4,4.44,2.77,758
4824,0.91,Premium,H,SI1,60.2,52.0,6.27,6.15,3.74,2935
9937,1.0,Premium,D,SI1,62.0,58.0,6.41,6.29,3.94,4704
11516,2.38,Premium,J,SI1,62.4,58.0,8.54,8.46,5.31,12364
1338,1.04,Premium,G,SI2,62.2,59.0,6.57,6.49,4.06,3861
20797,0.3,Very Good,F,SI2,63.3,55.0,4.33,4.29,2.73,506
6999,0.3,Ideal,E,VVS2,61.6,57.0,4.32,4.29,2.65,1013
2938,0.7,Very Good,F,SI1,62.9,59.0,5.62,5.67,3.55,2401
22765,1.29,Premium,F,VS1,61.3,61.0,7.05,6.95,4.29,10801
22881,1.27,Very Good,J,VS2,61.8,60.0,6.9,6.94,4.28,5455
18236,0.9,Premium,E,SI1,59.1,62.0,6.33,6.3,3.73,4385
1947,2.39,Very Good,J,VS1,59.6,60.0,8.71,8.77,5.21,17920
20512,0.77,Ideal,E,SI1,61.6,57.0,5.87,5.91,3.63,3189
10665,0.57,Fair,F,VS1,64.5,61.0,5.23,5.19,3.36,1788
13549,0.7,Ideal,H,SI2,60.6,54.0,5.73,5.65,3.45,1715
858,0.74,Very Good,F,SI2,59.6,60.0,5.85,6.0,3.53,2298
15621,0.33,Ideal,E,IF,61.9,57.0,4.41,4.45,2.74,1129
10612,1.0,Ideal,G,VS1,62.9,57.0,6.36,6.32,3.99,6290
21296,1.05,Very Good,F,SI2,62.1,58.0,6.47,6.5,4.03,4436
14612,0.71,Premium,H,VS1,62.9,57.0,5.72,5.67,3.58,2572
19843,0.41,Ideal,E,VVS2,61.6,56.0,4.8,4.78,2.95,1243
1770,0.38,Ideal,D,VVS2,61.3,56.0,4.63,4.73,2.87,1200
14495,0.39,Premium,E,SI2,60.7,62.0,4.74,4.72,2.87,778
10887,0.42,Ideal,D,SI1,61.8,57.0,4.81,4.77,2.96,1040
7639,0.59,Premium,H,VVS2,62.3,55.0,5.42,5.33,3.35,1886
11802,2.01,Premium,I,SI2,62.6,56.0,8.1,8.0,5.04,13833
6550,0.62,Very Good,E,SI2,58.8,63.0,5.58,5.61,3.29,1624
23783,0.43,Very Good,D,SI2,63.4,57.0,4.81,4.78,3.04,858
4933,0.34,Ideal,F,VS1,62.2,56.0,4.47,4.44,2.77,956
24883,1.82,Premium,H,VS2,61.6,60.0,7.78,7.74,4.78,14749
12493,0.27,Ideal,D,VVS2,62.3,57.0,4.15,4.13,2.58,799
14228,1.01,Very Good,H,VS2,63.3,57.0,6.32,6.27,3.99,4559
23840,0.51,Ideal,D,VS1,61.6,57.0,5.13,5.16,3.17,1962
20937,0.39,Ideal,D,VS1,62.0,57.0,4.71,4.67,2.91,1170
1882,1.76,Ideal,F,SI2,62.6,55.0,7.69,7.64,4.8,9659
25311,0.7,Very Good,E,VS2,61.7,60.0,5.67,5.7,3.51,2513
18577,2.11,Premium,H,SI2,60.9,59.0,8.3,8.25,5.04,12633
3623,0.42,Ideal,F,VVS2,61.3,57.0,4.8,4.82,2.95,1142
12223,0.41,Ideal,F,VVS1,61.8,55.0,4.78,4.76,2.95,1356
18343,0.51,Very Good,E,VS1,60.4,59.0,5.16,5.2,3.13,1697
21388,0.25,Very Good,F,VVS2,61.6,57.0,4.05,4.08,2.5,633
19710,0.5,Very Good,G,VS1,63.2,59.0,5.03,5.07,3.19,1580
9970,1.5,Very Good,F,SI1,63.4,58.0,7.2,7.16,4.55,10962
18376,0.4,Ideal,E,SI1,62.5,57.0,4.74,4.7,2.95,907
26066,1.01,Premium,F,SI1,62.8,59.0,6.4,6.36,4.01,3920
26387,0.32,Ideal,E,VS2,61.9,56.0,4.4,4.36,2.71,900
14431,0.52,Fair,J,VS2,65.3,56.0,5.05,5.0,3.28,1030
18861,0.54,Ideal,D,SI1,60.8,57.0,5.31,5.25,3.21,1786
7969,0.78,Premium,J,SI1,63.0,60.0,5.88,5.82,3.66,1954
11361,0.31,Ideal,G,VVS1,61.4,57.0,4.37,4.39,2.68,772
23189,0.51,Ideal,G,VVS2,,57.0,5.18,5.13,3.17,1974
4761,0.9,Very Good,H,VS2,62.0,57.0,6.1,6.16,3.8,4155
12495,0.77,Ideal,H,SI1,61.3,56.0,5.87,5.91,3.61,3089
260,0.59,Ideal,E,VS2,61.4,58.0,5.38,5.4,3.31,1657
8155,0.32,Ideal,H,VS1,62.9,54.0,4.41,4.37,2.76,720
3449,0.35,Ideal,F,VS2,61.5,57.0,4.56,4.52,2.79,906
3436,0.91,Very Good,F,SI1,62.3,60.0,6.08,6.15,3.81,4049
20041,1.0,Premium,F,SI1,61.9,60.0,6.39,6.34,3.94,5645
15140,1.13,Premium,H,VS2,62.0,57.0,6.68,6.62,4.12,5650
14387,0.7,Premium,H,VS1,62.8,60.0,5.61,5.56,3.51,2367
6112,1.1,Very Good,F,VS2,63.5,55.0,6.58,6.52,4.16,5218
18756,0.7,Very Good,I,VVS1,60.9,60.0,5.68,5.71,3.47,2421
2906,0.34,Premium,E,SI1,61.8,58.0,4.5,4.47,2.77,765
11810,0.5,Ideal,E,VS2,,55.0,5.12,5.14,3.15,1614
9651,0.58,Ideal,G,VVS1,61.3,56.0,5.36,5.4,3.3,2256
10770,0.72,Very Good,F,VS2,63.3,57.0,5.69,5.72,3.61,2931
4436,1.02,Premium,F,SI2,61.5,58.0,6.42,6.49,3.97,4459
19717,0.34,Very Good,E,VVS2,62.7,59.0,4.41,4.43,2.77,775
14057,1.02,Very Good,D,SI2,61.3,62.0,6.42,6.46,3.95,3971
21325,0.58,Ideal,F,VS1,61.2,57.0,5.36,5.39,3.29,1979
2212,1.09,Ideal,G,VVS2,60.6,57.0,6.62,6.7,4.05,8364
21943,0.52,Ideal,G,VS2,61.2,56.0,5.16,5.2,3.17,1586
14289,0.5,Premium,F,VS1,61.6,58.0,5.11,5.06,3.13,1715
5485,0.4,Premium,E,SI1,61.4,58.0,4.81,4.77,2.94,882
1703,0.6,Premium,D,SI1,60.4,60.0,5.48,5.44,3.3,1996
5156,1.2,Ideal,I,SI1,61.8,56.0,6.8,6.77,4.19,5510
6725,0.34,Ideal,F,VS2,61.4,55.0,4.54,4.52,2.78,856
3203,0.46,Ideal,E,VVS2,62.6,55.0,4.92,4.95,3.09,1657
15284,0.56,Ideal,I,VS2,62.2,57.0,5.27,5.28,3.28,1417
1100,0.3,Good,G,VS1,63.1,58.0,4.24,4.28,2.69,605
20409,0.32,Ideal,G,IF,61.8,55.0,4.43,4.41,2.73,1020
24814,0.53,Premium,F,VS2,61.4,60.0,5.21,5.18,3.19,1753
16847,1.21,Ideal,H,VS1,60.5,57.0,6.91,6.88,4.17,7047
11211,0.7,Ideal,E,VS2,60.8,56.0,5.74,5.78,3.5,3504
16158,0.31,Very Good,G,VS2,63.2,58.0,4.3,4.28,2.71,651
718,1.27,Ideal,F,SI1,61.8,57.0,6.96,6.89,4.28,5761
15549,1.03,Premium,D,SI2,62.5,54.0,6.5,6.42,4.04,4764
12581,2.1,Ideal,F,SI2,61.0,60.0,8.22,8.2,5.01,18124
4512,1.39,Premium,I,SI1,62.1,57.0,7.22,7.08,4.44,6694
18742,0.74,Ideal,I,VVS2,61.3,57.0,5.82,5.85,3.57,3130
18536,0.5,Premium,H,SI1,59.0,59.0,5.22,5.18,3.07,1156
19830,1.03,Ideal,F,VS2,60.2,54.0,6.64,6.61,3.99,7550
9654,0.34,Ideal,D,IF,59.8,57.0,4.57,4.59,2.74,2287
19450,0.38,Ideal,E,SI1,61.9,55.0,4.64,4.7,2.89,700
14400,1.55,Premium,I,SI1,62.5,60.0,7.33,7.35,4.59,8866
15882,0.31,Very Good,H,VS1,61.7,61.0,4.31,4.34,2.67,544
12389,0.54,Ideal,E,VS1,62.0,56.0,5.25,5.17,3.23,2041
12283,1.01,Good,F,VS2,63.6,59.0,6.36,6.32,4.03,6097
22339,0.4,Premium,F,VS2,60.7,60.0,4.8,4.75,2.9,1080
598,0.7,Ideal,J,SI1,62.6,56.0,5.66,5.68,3.55,1937
19677,2.23,Premium,G,SI2,61.4,58.0,8.41,8.32,5.14,16805
23051,0.72,Ideal,H,VS1,60.7,55.0,5.83,5.85,3.54,3274
6865,0.82,Premium,H,SI2,59.5,62.0,6.13,6.07,3.63,2499
781,1.21,Very Good,H,SI1,60.2,58.0,6.89,6.93,4.16,6229
18205,1.02,Ideal,H,SI1,61.8,57.0,6.48,6.41,3.98,4558
24950,1.09,Premium,G,SI2,61.1,59.0,6.69,6.63,4.07,4794
2204,0.31,Very Good,I,VS2,61.6,56.0,4.36,4.39,2.69,468
18702,1.66,Very Good,I,SI1,63.0,57.0,7.45,7.5,4.71,8901
10604,0.91,Premium,F,SI2,59.8,58.0,6.29,6.26,3.75,2564
6869,0.31,Very Good,F,VVS1,62.4,57.0,4.3,4.32,2.69,897
2240,0.93,Premium,E,SI2,62.9,57.0,6.25,6.19,3.91,3984
6563,0.31,Ideal,E,VVS1,62.1,55.0,4.34,4.36,2.7,853
879,0.23,Very Good,E,VVS2,60.9,60.0,3.96,3.99,2.42,530
22285,1.41,Premium,G,SI1,59.5,59.0,7.35,7.3,4.36,8758
3223,0.31,Very Good,G,VVS2,62.3,59.0,4.29,4.32,2.68,617
6242,0.52,Ideal,F,VS1,62.3,55.0,5.16,5.21,3.23,1778
10183,1.54,Premium,F,SI2,62.0,56.0,7.51,7.4,4.62,7486
1101,0.5,Good,F,SI1,64.3,57.0,5.03,4.94,3.21,975
7962,0.26,Very Good,E,VVS1,61.8,59.0,4.11,4.14,2.55,539
3889,0.3,Ideal,E,VS2,62.3,56.0,4.3,4.34,2.69,658
4929,1.29,Very Good,I,SI1,63.6,57.0,6.88,6.92,4.39,5771
1550,1.01,Ideal,G,VVS2,62.2,54.0,6.41,6.48,4.01,8104
21113,1.03,Very Good,D,VVS2,62.7,58.0,6.39,6.43,4.02,11677
4592,1.02,Fair,I,SI2,66.2,57.0,6.34,6.26,4.17,3290
21118,1.08,Ideal,I,VS2,61.9,57.0,6.54,6.61,4.07,5172
23691,0.31,Premium,G,VS2,61.7,58.0,4.34,4.32,2.67,698
13929,0.7,Very Good,F,SI1,60.3,59.0,5.73,5.82,3.48,2409
10611,1.0,Very Good,G,VS2,,57.0,6.33,6.37,3.99,5227
10850,1.53,Premium,I,VS1,62.4,59.0,7.3,7.34,4.57,10729
1688,0.43,Ideal,I,VS2,61.9,54.0,4.87,4.88,3.02,716
8089,0.9,Good,D,SI2,60.3,64.0,6.1,6.14,3.69,3534
20910,1.55,Very Good,F,VS1,61.6,56.0,7.38,7.45,4.57,15658
8950,0.9,Very Good,D,SI1,62.8,59.0,6.06,6.1,3.82,4068
18989,0.36,Ideal,D,VS2,61.8,55.0,4.58,4.61,2.84,800
15992,0.7,Very Good,E,SI1,60.9,59.0,5.67,5.76,3.48,2537
655,0.36,Ideal,G,SI1,61.8,55.0,4.58,4.61,2.84,725
5847,1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,4666
25440,0.3,Very Good,G,VS1,62.5,59.0,4.32,4.25,2.68,629
1961,0.34,Premium,E,SI2,62.4,59.0,4.42,4.46,2.77,477
20067,0.5,Ideal,F,SI1,60.2,63.0,5.12,5.15,3.09,1374
11470,0.31,Ideal,F,IF,61.0,56.0,4.39,4.43,2.69,914
22647,0.59,Good,G,VS1,60.4,61.2,5.38,5.43,3.26,1910
14087,0.9,Premium,H,VS1,62.9,58.0,6.12,6.06,3.83,4234
26628,0.46,Ideal,G,VVS1,61.6,55.0,5.0,5.03,3.09,1800
8134,0.7,Very Good,D,VS1,60.4,58.0,5.71,5.78,3.47,3008
24603,1.12,Ideal,H,SI2,63.6,56.0,6.68,6.54,4.19,5331
19131,0.33,Ideal,G,VVS2,61.7,55.0,4.46,4.42,2.74,965
24896,1.05,Very Good,H,SI1,60.5,58.0,6.55,6.6,3.98,5406
8401,1.51,Premium,E,VS2,62.2,59.0,7.31,7.36,4.56,14171
17447,0.4,Premium,E,SI1,60.9,60.0,4.77,4.75,2.9,945
8711,0.31,Premium,F,SI1,62.7,58.0,4.31,4.33,2.71,516
14267,2.02,Ideal,I,VS2,61.5,58.0,8.19,8.11,5.01,16018
20425,0.41,Ideal,E,VS1,61.3,55.0,4.8,4.83,2.95,990
15171,0.35,Very Good,F,SI1,61.7,58.0,4.51,4.54,2.79,583
18407,1.4,Very Good,I,VS1,61.6,59.0,7.17,7.22,4.43,7584
17040,0.36,Ideal,E,SI1,60.9,57.0,4.58,4.62,2.8,597
13019,1.32,Premium,F,VS2,60.9,59.0,7.12,7.06,4.32,10423
2652,0.41,Premium,G,VS1,62.1,60.0,4.72,4.78,2.95,899
15268,0.7,Ideal,E,VS2,61.7,55.0,5.7,5.74,3.53,3612
18871,0.44,Ideal,G,VVS2,61.8,56.0,4.94,4.9,3.04,1155
21169,0.32,Ideal,H,VS2,61.2,55.0,4.41,4.45,2.71,523
22260,0.39,Ideal,E,VS1,62.7,53.6,4.67,4.69,2.93,1004
12095,0.46,Ideal,H,IF,62.2,55.0,4.94,4.99,3.09,1450
21751,1.01,Very Good,G,SI1,60.2,58.0,6.5,6.59,3.94,4719
9172,0.75,Premium,H,SI1,60.7,62.0,5.87,5.82,3.55,2331
3211,1.03,Ideal,D,SI1,61.0,57.0,6.48,6.53,3.97,5804
